target_type,loss_function,weight_ex,batch_size,n_pairs,learning_rate,config,r2_avg,mae_avg,rmse_avg,softdtw_avg,fastdtw_avg,sid_avg,sis_avg,CV_r2_avg,CV_mae_avg,CV_rmse_avg,CV_softdtw_avg,CV_fastdtw_avg,CV_sid_avg,CV_sis_avg,val_loss_avg
default,MSE,0.1,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10206.776658020019,0.32001697659492495,0.40190355241298675,-676.2798596191407,144.00146,0.028902285136282443,0.971961750339542,-966.4759318033854,0.3341972827911377,0.4154033462206523,1298.3219401041667,2563.3943,0.6249297459920248,0.6155104509823205,0.22729251484076182
default,MSE,0.1,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10262.031432495118,0.3263630121946335,0.4030197685956955,-674.5468920898437,148.8613,0.02897000290453434,0.9718929411675648,-792.4958292643229,0.30341294407844543,0.37926162282625836,1089.4328206380208,2300.012,0.6241546471913656,0.6158084968997969,0.21348284234603246
default,MSE,0.3,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10816.666694335938,0.3311248183250427,0.41366180300712585,-669.3371044921874,149.078,0.028958112820982932,0.9719138742087258,-944.0885009765625,0.3270145356655121,0.41220471262931824,1279.9247233072917,2531.8645,0.625214695930481,0.6154047450903873,0.22566537509361903
default,MSE,0.3,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10628.191461486816,0.3287375992536545,0.41007991969585417,-671.4078186035156,148.4285,0.029050399400293827,0.971814514049421,-717.7082722981771,0.28850798805554706,0.35713924964269,958.7638346354166,2248.8967,0.6523616512616476,0.6053481905497002,0.2065964087843895
default,MSE,0.5,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-11180.485107421875,0.33378218233585355,0.42032228350639345,-666.0320947265625,151.32086,0.027529943212866784,0.9732419523108333,-895.9298095703125,0.31789302825927734,0.39995280901590985,1202.5425618489583,2404.7861,0.6253088712692261,0.6153712956894445,0.22064058730999628
default,MSE,0.5,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-9558.880589294433,0.30981099486351016,0.3887696033716202,-682.8846887207031,140.48395,0.028104216679930686,0.9726987537643434,-688.6581726074219,0.2787808875242869,0.34915391604105633,918.4014078776041,2155.258,0.6245500048001608,0.615655967416522,0.19720355570316314
default,MSE,0.7,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10509.440289001464,0.3196943461894989,0.4077204066514969,-674.2862768554687,143.21454,0.028451397754251956,0.9723793987702389,-959.6055908203125,0.32871876160303753,0.41066383322079975,1267.5044759114583,2528.6804,0.6245810588200887,0.6156454624279171,0.22216952294111253
default,MSE,0.7,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10766.416124572754,0.33372855722904204,0.4126226055622101,-669.0977917480469,151.34213,0.027445169799029827,0.9733160918336636,-699.35546875,0.2828449606895447,0.35195563236872357,931.8195190429688,2192.6577,0.6241661707560221,0.6158041104930184,0.19686342676480612
default,MSE,0.9,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10431.628405456542,0.32051704347133636,0.40598981320858,-674.0062158203125,144.73244,0.027641766406595707,0.9731344995821578,-935.5287068684896,0.327297568321228,0.40978095928827923,1263.776123046875,2473.0847,0.6254455844561259,0.6153149610931399,0.2307356894016266
default,MSE,0.9,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10515.071311340333,0.3319376891851425,0.4077898722887039,-671.3412023925781,149.18304,0.027749320268630983,0.973040229980064,-698.3963521321615,0.28336766362190247,0.35064273079236347,923.72021484375,2178.807,0.6259164810180664,0.6151300646880862,0.1981877903143565
